,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
548,Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,482195912,402195912
455,Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,335404943,245404943
694,Alvin and the Chipmunks: The Squeakquel,70000000,219614612,443483213,663097825,593097825
2780,Amadeus,18000000,51973029,51973029,103946058,85946058
1244,America's Sweethearts,46000000,93607673,160648493,254256166,208256166
4035,American Anthem,7000000,3571624,3571624,7143248,143248
827,American Assassin,63000000,36249674,68310140,104559814,41559814
2997,American Beauty,15000000,130058047,356258047,486316094,471316094
5576,American Desi,250000,902835,1366235,2269070,2019070
2900,American Dreamz,17000000,7314027,16510971,23824998,6824998
371,American Gangster,100000000,130164645,267985456,398150101,298150101
5372,American Graffiti,777000,115000000,140000000,255000000,254223000
3652,American History X,10000000,6719864,6719864,13439728,3439728
1379,American Hustle,40000000,150117807,257878294,407996101,367996101
1131,American Made,50000000,51342000,135569212,186911212,136911212
5528,American Ninja 2: The Confrontation,350000,4000000,4000000,8000000,7650000
3343,American Pie,12000000,101800948,234723148,336524096,324524096
1840,American Pie 2,30000000,145096820,286500000,431596820,401596820
3891,American Psycho,8000000,15070285,34270285,49340570,41340570
1125,American Reunion,50000000,56758835,236799211,293558046,243558046
956,American Sniper,58000000,350126372,547326372,897452744,839452744
4909,American Splendor,2000000,6003587,8685632,14689219,12689219
2071,American Ultra,28000000,14439985,30295028,44735013,16735013
993,American Wedding,55000000,104354205,126425115,230779320,175779320
1446,Amistad,40000000,44212592,58250151,102462743,62462743
4913,Amores Perros,2000000,5383834,20883834,26267668,24267668
3750,Amour,9700000,6738954,36787044,43525998,33825998
3196,An American Haunting,14000000,16298046,30443277,46741323,32741323
3958,An Education,7500000,12574914,29652736,42227650,34727650
3522,An Ideal Husband,10700000,18542974,31341183,49884157,39184157
5238,An Inconvenient Sequel,1000000,3496795,5839322,9336117,8336117
5215,An Inconvenient Truth,1000000,24146161,53365925,77512086,76512086
1274,Anaconda,45000000,65598907,136998907,202597814,157597814
2230,Anacondas: The Hunt for the Blood Orchid,25000000,31526393,70326393,101852786,76852786
923,Analyze That,60000000,32122249,54994757,87117006,27117006
1851,Analyze This,30000000,106885658,176885658,283771316,253771316
1059,Anastasia,53000000,58403409,139801096,198204505,145204505
1091,Anchorman 2: The Legend Continues,50000000,127352707,172185754,299538461,249538461
2171,Anchorman: The Legend of Ron Burgundy,25000000,84136909,89476265,173613174,148613174
2813,And So It Goes,18000000,15160801,17920013,33080814,15080814
1571,Angel Eyes,38000000,24044532,29544532,53589064,15589064
2274,Angela's Ashes,25000000,13038660,13038660,26077320,1077320
180,Angels & Demons,150000000,133375846,490875846,624251692,474251692
977,Anger Management,56000000,135560942,195660942,331221884,275221884
4470,Animal Kingdom,4200000,1044039,8078683,9122722,4922722
1212,Anna Karenina,49000000,12816367,71004627,83820994,34820994
659,Anna and the King,75000000,39251128,39251128,78502256,3502256
4083,Annabelle,6500000,84273813,256862920,341136733,334636733
3001,Annabelle: Creation,15000000,102092201,305384865,407477066,392477066
788,Annie,65000000,85911262,139829625,225740887,160740887
4576,Annie Get Your Gun,3768785,8000000,8000000,16000000,12231215
4479,Annie Hall,4000000,38251425,38251425,76502850,72502850
1031,Annihilation,55000000,32732301,43070915,75803216,20803216
3905,Anomalisa,8000000,3759286,5706168,9465454,1465454
5647,Another Earth,175000,1321194,2102779,3423973,3248973
3907,Another Year,8000000,3205706,20005613,23211319,15211319
242,Ant-Man,130000000,180202163,518858449,699060612,569060612
240,Ant-Man and the Wasp,130000000,216648740,623144660,839793400,709793400
3318,Antwone Fisher,12500000,21078145,23367586,44445731,31945731
860,Antz,60000000,90757863,152457863,243215726,183215726
871,Any Given Sunday,60000000,75530832,100230832,175761664,115761664
2383,Anywhere But Here,23000000,18653615,18653615,37307230,14307230
1819,Apocalypse Now,31500000,78800000,81250485,160050485,128550485
1437,Apocalypto,40000000,50866635,121032272,171898907,131898907
774,Apollo 13,65000000,173772767,335802271,509575038,444575038
4293,Apollo 18,5000000,17686929,26517819,44204748,39204748
2592,Appaloosa,20000000,20211394,27911453,48122847,28122847
4309,April Fool's Day,5000000,12947763,12947763,25895526,20895526
5375,Aqua Teen Hunger Force Colon Movie Film for Theaters,750000,5520368,5520368,11040736,10290736
135,Aquaman,160000000,335061807,1146894640,1481956447,1321956447
3389,Aquamarine,12000000,18597342,22978953,41576295,29576295
