,title,domestic_gross,year
77,Letters to Juliet,53000000,2010
2831,Life (2017),30200000,2017
59,Life as We Know It,53400000,2010
737,Life of Pi,125000000,2012
3164,Life of the Party,53100000,2018
2380,Lights Out,67300000,2016
372,Limitless,79200000,2011
757,Lincoln,182200000,2012
2383,Lion,51700000,2016
20,Little Fockers,148400000,2010
2772,Logan (2017),226300000,2017
2363,London Has Fallen,62500000,2016
1176,Lone Survivor,125100000,2013
771,Looper,66500000,2012
62,Love and Other Drugs,32400000,2010
3162,"Love, Simon",40800000,2018
1494,Lucy,126700000,2014
736,MIB 3,179000000,2012
1891,Mad Max: Fury Road,153600000,2015
734,Madagascar 3: Europe's Most Wanted,216400000,2012
772,Magic Mike,113700000,2012
1927,Magic Mike XXL,66000000,2015
1480,Maleficent,241400000,2014
1180,Mama,71600000,2013
3100,Mamma Mia! Here We Go Again,120600000,2018
1135,Man of Steel,291000000,2013
2410,Manchester by the Sea,47700000,2016
72,Marmaduke,33600000,2010
727,Marvel's The Avengers,623400000,2012
3107,Mary Poppins Returns,172000000,2018
1982,Max (2015),42700000,2015
3113,Maze Runner: The Death Cure,58000000,2018
1895,Maze Runner: The Scorch Trials,81700000,2015
1981,"McFarland, USA",44500000,2015
2362,Me Before You,56200000,2016
17,Megamind,148400000,2010
376,Midnight in Paris,56800000,2011
2413,Mike and Dave Need Wedding Dates,46000000,2016
3163,Mile 22,36100000,2018
1594,Million Dollar Arm,36500000,2014
1876,Minions,336000000,2015
2415,Miracles from Heaven,61700000,2016
768,Mirror Mirror,64900000,2012
2353,Miss Peregrine's Home for Peculiar Children,87200000,2016
3086,Mission: Impossible - Fallout,220200000,2018
332,Mission: Impossible - Ghost Protocol,209400000,2011
1879,Mission: Impossible - Rogue Nation,195000000,2015
2333,Moana,248800000,2016
2852,Molly's Game,28800000,2017
2402,Money Monster,41000000,2016
394,Moneyball,75600000,2011
2845,Monster Trucks,33400000,2017
1133,Monsters University,268500000,2013
828,"Monsters, Inc. (3D)",34000000,2012
816,Moonrise Kingdom,45500000,2012
97,Morning Glory,31000000,2010
2432,Mother's Day,32500000,2016
